site,distance,n_tussocks,area
7_28_1,112,1,4
7_28_1,114,0,4
7_28_1,116,0,4
7_28_1,118,0,4
7_28_1,120,0,4
7_28_1,122,3,4
7_28_1,124,16,4
7_28_1,126,7,4
7_28_1,128,8,4
7_28_1,130,4,4
7_28_1,132,2,4
7_28_1,134,2,4
7_28_1,136,5,4
7_28_1,138,4,4
7_28_1,140,1,4
7_28_1,142,2,4
7_28_1,144,0,4
7_28_1,146,1,4
7_28_1,148,3,4
7_28_1,150,2,4
7_28_1,152,0,4
7_28_1,154,1,4
7_28_1,156,1,4
7_28_1,158,5,4
7_28_1,160,0,4
7_28_1,162,2,4
7_28_1,164,9,4
7_28_1,166,13,4
7_28_1,168,6,4
7_28_1,170,0,4
7_28_1,172,2,4
7_28_1,174,1,4
7_28_1,176,1,4
7_28_1,178,2,4
7_28_1,180,0,4
7_28_1,182,0,4
7_28_1,184,1,4
7_28_1,186,0,4
7_28_1,188,13,4
7_28_1,190,8,4
7_28_1,192,5,4
7_28_1,194,5,4
7_28_1,196,1,4
7_28_1,198,5,4
7_23_1,0,21,4
7_23_1,2,24,4
7_23_1,4,15,4
7_23_1,6,14,4
7_23_1,8,7,4
7_23_1,10,14,4
7_23_1,12,22,4
7_23_1,14,24,4
7_23_1,16,23,4
7_23_1,18,25,4
7_23_1,20,25,4
7_23_1,22,22,4
7_23_1,24,19,4
7_23_1,26,21,4
7_23_1,28,14,4
7_23_1,30,21,4
7_23_1,32,13,4
7_23_1,34,17,4
7_23_1,36,16,4
7_23_1,38,15,4
7_23_1,40,24,4
7_23_1,42,21,4
7_23_1,44,20,4
7_23_1,46,26,4
7_23_1,48,18,4
7_23_1,50,27,4
7_23_1,52,25,4
7_23_1,54,26,4
7_23_1,56,28,4
7_23_1,58,24,4
7_23_1,60,17,4
7_23_1,62,27,4
7_23_1,64,28,4
7_23_1,66,26,4
7_23_1,68,25,4
7_23_1,70,26,4
7_23_1,72,27,4
7_23_1,74,23,4
7_23_1,76,24,4
7_23_1,78,19,4
7_23_1,80,20,4
7_23_1,82,23,4
7_23_1,84,20,4
7_23_1,86,23,4
7_23_1,88,18,4
7_23_1,90,22,4
7_23_1,92,25,4
7_23_1,94,27,4
7_23_1,96,25,4
7_23_1,98,28,4
7_23_1,100,27,4
7_23_1,102,25,4
7_23_1,104,23,4
7_23_1,106,22,4
7_23_1,108,24,4
7_23_1,110,25,4
7_23_1,112,24,4
7_23_1,114,22,4
7_23_1,116,20,4
7_23_1,118,26,4
7_23_1,120,22,4
7_23_1,122,18,4
7_23_1,124,16,4
7_23_1,126,19,4
7_23_1,128,22,4
7_23_1,130,22,4
7_23_1,132,26,4
7_23_1,134,20,4
7_23_1,136,18,4
7_23_1,138,19,4
7_23_1,140,23,4
7_23_1,142,19,4
7_23_1,144,17,4
7_23_1,146,23,4
7_23_1,148,18,4
7_23_1,150,20,4
7_23_1,152,21,4
7_23_1,154,18,4
7_23_1,156,16,4
7_23_1,158,21,4
7_23_1,160,18,4
7_23_1,162,20,4
7_23_1,164,18,4
7_23_1,166,25,4
7_23_1,168,19,4
7_23_1,170,20,4
7_23_1,172,18,4
7_23_1,174,25,4
7_23_1,176,18,4
7_23_1,178,17,4
7_23_1,180,20,4
7_23_1,182,21,4
7_23_1,184,19,4
7_23_1,186,18,4
7_23_1,188,15,4
7_23_1,190,13,4
7_23_1,192,15,4
7_23_1,194,15,4
7_23_1,196,17,4
7_23_1,198,8,4
7_22_1,0,23,4
7_22_1,2,21,4
7_22_1,4,24,4
7_22_1,6,20,4
7_22_1,8,21,4
7_22_1,10,24,4
7_22_1,12,20,4
7_22_1,14,25,4
7_22_1,16,19,4
7_22_1,18,24,4
7_22_1,20,22,4
7_22_1,22,17,4
7_22_1,24,23,4
7_22_1,26,27,4
7_22_1,28,25,4
7_22_1,30,21,4
7_22_1,32,29,4
7_22_1,34,30,4
7_22_1,36,24,4
7_22_1,38,23,4
7_22_1,40,24,4
7_22_1,42,23,4
7_22_1,44,25,4
7_22_1,46,22,4
7_22_1,48,23,4
7_22_1,50,24,4
7_22_1,52,28,4
7_22_1,54,23,4
7_22_1,56,17,4
7_22_1,58,18,4
7_22_1,60,21,4
7_22_1,62,23,4
7_22_1,64,24,4
7_22_1,66,16,4
7_22_1,68,19,4
7_22_1,70,16,4
7_22_1,72,8,4
7_22_1,74,13,4
7_22_1,76,14,4
7_22_1,78,9,4
7_22_1,80,8,4
7_22_1,82,14,4
7_22_1,84,17,4
7_22_1,86,18,4
7_22_1,88,20,4
7_22_1,90,19,4
7_22_1,92,12,4
7_22_1,94,20,4
7_22_1,96,21,4
7_22_1,98,17,4
7_22_1,100,16,4
7_22_1,102,18,4
7_22_1,104,18,4
7_22_1,106,17,4
7_22_1,108,19,4
7_22_1,110,21,4
7_22_1,112,20,4
7_22_1,114,18,4
7_22_1,116,22,4
7_22_1,118,21,4
7_22_1,120,25,4
7_22_1,122,22,4
7_22_1,124,17,4
7_22_1,126,20,4
7_22_1,128,18,4
7_22_1,130,16,4
7_22_1,132,16,4
7_22_1,134,19,4
7_22_1,136,24,4
7_22_1,138,25,4
7_22_1,140,25,4
7_22_1,142,15,4
7_22_1,144,18,4
7_22_1,146,19,4
7_22_1,148,18,4
7_22_1,150,23,4
7_22_1,152,21,4
7_22_1,154,19,4
7_22_1,156,22,4
7_22_1,158,18,4
7_22_1,160,20,4
7_22_1,162,28,4
7_22_1,164,19,4
7_22_1,166,20,4
7_22_1,168,19,4
7_22_1,170,15,4
7_22_1,172,14,4
7_22_1,174,25,4
7_22_1,176,22,4
7_22_1,178,23,4
7_22_1,180,21,4
7_22_1,182,23,4
7_22_1,184,18,4
7_22_1,186,23,4
7_22_1,188,21,4
7_22_1,190,18,4
7_22_1,192,19,4
7_22_1,194,20,4
7_22_1,196,20,4
7_22_1,198,24,4
imnaviat,0,11,4
imnaviat,2,14,4
imnaviat,4,13,4
imnaviat,6,17,4
imnaviat,8,16,4
imnaviat,10,17,4
imnaviat,12,9,4
imnaviat,14,17,4
imnaviat,16,5,4
imnaviat,18,10,4
imnaviat,20,3,4
imnaviat,22,4,4
imnaviat,24,13,4
imnaviat,26,15,4
imnaviat,28,18,4
imnaviat,30,16,4
imnaviat,32,13,4
imnaviat,34,15,4
imnaviat,36,12,4
imnaviat,38,17,4
imnaviat,40,10,4
imnaviat,42,12,4
imnaviat,44,12,4
imnaviat,46,10,4
imnaviat,48,12,4
imnaviat,50,12,4
imnaviat,52,1,4
imnaviat,54,0,4
imnaviat,56,2,4
imnaviat,58,3,4
imnaviat,60,2,4
imnaviat,62,0,4
imnaviat,64,0,4
imnaviat,66,3,4
imnaviat,68,9,4
imnaviat,70,2,4
imnaviat,72,6,4
imnaviat,74,9,4
imnaviat,76,0,4
imnaviat,78,10,4
imnaviat,80,14,4
imnaviat,82,11,4
imnaviat,84,12,4
imnaviat,86,11,4
imnaviat,88,14,4
imnaviat,90,9,4
imnaviat,92,8,4
imnaviat,94,13,4
imnaviat,96,15,4
imnaviat,98,9,4
imnaviat,100,11,4
imnaviat,102,11,4
imnaviat,104,13,4
imnaviat,106,20,4
imnaviat,108,19,4
imnaviat,110,21,4
imnaviat,112,15,4
imnaviat,114,12,4
imnaviat,116,11,4
imnaviat,118,12,4
imnaviat,120,16,4
imnaviat,122,5,4
imnaviat,124,5,4
imnaviat,126,14,4
imnaviat,128,13,4
imnaviat,130,9,4
imnaviat,132,10,4
imnaviat,134,3,4
imnaviat,136,9,4
imnaviat,138,11,4
imnaviat,140,12,4
imnaviat,142,4,4
imnaviat,144,5,4
imnaviat,146,10,4
imnaviat,148,1,4
imnaviat,150,4,4
imnaviat,152,2,4
imnaviat,154,1,4
imnaviat,156,1,4
imnaviat,158,7,4
imnaviat,160,7,4
imnaviat,162,6,4
imnaviat,164,11,4
imnaviat,166,11,4
imnaviat,168,10,4
imnaviat,170,8,4
imnaviat,172,15,4
imnaviat,174,17,4
imnaviat,176,9,4
imnaviat,178,6,4
imnaviat,180,11,4
imnaviat,182,8,4
imnaviat,184,1,4
imnaviat,186,0,4
imnaviat,188,0,4
imnaviat,190,2,4
imnaviat,192,10,4
imnaviat,194,11,4
imnaviat,196,12,4
imnaviat,198,4,4
toolik_pad_mid,0,10,4
toolik_pad_mid,2,7,4
toolik_pad_mid,4,6,4
toolik_pad_mid,6,8,4
toolik_pad_mid,8,7,4
toolik_pad_mid,10,4,4
toolik_pad_mid,12,5,4
toolik_pad_mid,14,9,4
toolik_pad_mid,16,8,4
toolik_pad_mid,18,10,4
toolik_pad_mid,20,12,4
toolik_pad_mid,22,13,4
toolik_pad_mid,24,7,4
toolik_pad_mid,26,6,4
toolik_pad_mid,28,1,4
toolik_pad_mid,30,9,4
toolik_pad_mid,32,9,4
toolik_pad_mid,34,7,4
toolik_pad_mid,36,11,4
toolik_pad_mid,38,14,4
toolik_pad_mid,40,5,4
toolik_pad_mid,42,5,4
toolik_pad_mid,44,6,4
toolik_pad_mid,46,5,4
toolik_pad_mid,48,8,4
toolik_pad_mid,50,5,4
toolik_pad_mid,52,5,4
toolik_pad_mid,54,0,4
toolik_pad_mid,56,1,4
toolik_pad_mid,58,1,4
toolik_pad_mid,60,14,4
toolik_pad_mid,62,11,4
toolik_pad_mid,64,5,4
toolik_pad_mid,66,0,4
toolik_pad_mid,68,0,4
toolik_pad_mid,70,4,4
toolik_pad_mid,72,16,4
toolik_pad_mid,74,10,4
toolik_pad_mid,76,8,4
toolik_pad_mid,78,9,4
toolik_pad_mid,80,4,4
toolik_pad_mid,82,1,4
toolik_pad_mid,84,9,4
toolik_pad_mid,86,3,4
toolik_pad_mid,88,9,4
toolik_pad_mid,90,3,4
toolik_pad_mid,92,6,4
toolik_pad_mid,94,4,4
toolik_pad_mid,96,6,4
toolik_pad_mid,98,2,4
toolik_pad_mid,100,7,4
toolik_pad_mid,102,7,4
toolik_pad_mid,104,3,4
toolik_pad_mid,106,0,4
toolik_pad_mid,108,1,4
toolik_pad_mid,110,4,4
toolik_pad_mid,112,4,4
toolik_pad_mid,114,3,4
toolik_pad_mid,116,0,4
toolik_pad_mid,118,0,4
toolik_pad_mid,120,0,4
toolik_pad_mid,122,3,4
toolik_pad_mid,124,10,4
toolik_pad_mid,126,9,4
toolik_pad_mid,128,4,4
toolik_pad_mid,130,0,4
toolik_pad_mid,132,0,4
toolik_pad_mid,134,1,4
toolik_pad_mid,136,1,4
toolik_pad_mid,138,1,4
toolik_pad_mid,140,5,4
toolik_pad_mid,142,7,4
toolik_pad_mid,144,4,4
toolik_pad_mid,146,3,4
toolik_pad_mid,148,0,4
toolik_pad_mid,150,0,4
toolik_pad_mid,152,0,4
toolik_pad_mid,154,0,4
toolik_pad_mid,156,3,4
toolik_pad_mid,158,0,4
toolik_pad_mid,160,0,4
toolik_pad_mid,162,0,4
toolik_pad_mid,164,3,4
toolik_pad_mid,166,2,4
toolik_pad_mid,168,0,4
toolik_pad_mid,170,0,4
toolik_pad_mid,172,0,4
toolik_pad_mid,174,0,4
toolik_pad_mid,176,0,4
toolik_pad_mid,178,1,4
toolik_pad_mid,180,0,4
toolik_pad_mid,182,0,4
toolik_pad_mid,184,0,4
toolik_pad_mid,186,1,4
toolik_pad_mid,188,0,4
toolik_pad_mid,190,2,4
toolik_pad_mid,192,3,4
toolik_pad_mid,194,1,4
toolik_pad_mid,196,0,4
toolik_pad_mid,198,2,4
8_13_1,0,23,4
8_13_1,2,20,4
8_13_1,4,22,4
8_13_1,6,18,4
8_13_1,8,22,4
8_13_1,10,21,4
8_13_1,12,22,4
8_13_1,14,19,4
8_13_1,16,18,4
8_13_1,18,20,4
8_13_1,20,17,4
8_13_1,22,18,4
8_13_1,24,18,4
8_13_1,26,19,4
8_13_1,28,19,4
8_13_1,30,17,4
8_13_1,32,13,4
8_13_1,34,11,4
8_13_1,36,16,4
8_13_1,38,10,4
8_13_1,40,12,4
8_13_1,42,13,4
8_13_1,44,19,4
8_13_1,46,13,4
8_13_1,48,18,4
8_13_1,50,19,4
8_13_1,52,18,4
8_13_1,54,21,4
8_13_1,56,19,4
8_13_1,58,19,4
