site,distance,diam,mass_overall,mass_above,mass_below,mass_mound
7_23_1,1.8,4.5,27.24695074,1.515122998,1.891116993,24.49863302
7_23_1,3,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,5.9,3,11.29185998,0.811683803,0.927811582,10.02984913
7_23_1,8.2,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,8.6,18,553.6984122,12.80004825,21.58144704,519.040264
7_23_1,9.8,7,71.15130187,2.991034012,4.108805063,64.83010971
7_23_1,11.5,5,34.25504464,1.781900158,2.275514237,30.89757551
7_23_1,13.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,13.7,11,189.944385,5.997660282,9.087745382,175.4376926
7_23_1,14.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,14.6,3.25,13.43646445,0.918114671,1.067850388,11.96352643
7_23_1,15.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,16.1,3.5,15.78356725,1.029057147,1.216282492,14.08468563
7_23_1,16.2,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,16.8,10.5,171.6861546,5.583189417,8.374794225,158.352239
7_23_1,17.2,11.5,209.2022107,6.42241992,9.825635446,193.4831809
7_23_1,18.2,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,18.8,3.25,13.43646445,0.918114671,1.067850388,11.96352643
7_23_1,20.8,4.75,30.64289611,1.646617927,2.079490064,27.59686992
7_23_1,26,2.25,6.044219404,0.521273962,0.559805699,5.322458132
7_23_1,29.7,3.5,15.78356725,1.029057147,1.216282492,14.08468563
7_23_1,36.8,27.5,1390.394164,24.57759367,45.4291411,1320.080333
7_23_1,38,5.75,46.40754385,2.209616171,2.908570298,42.0352486
7_23_1,39,14.5,346.1536049,9.176190342,14.76255967,322.3835994
7_23_1,41.4,8.5,108.4843721,4.032907673,5.778342696,99.42522849
7_23_1,46.3,3.75,18.33577515,1.144359604,1.372957465,16.39616408
7_23_1,49,21,773.9500973,16.2279709,28.29145131,728.8762629
7_23_1,51.6,15.25,386.2334499,9.916910248,16.12971033,360.2570997
7_23_1,53.7,14,320.7454739,8.693671178,13.88022861,298.4051781
7_23_1,56.5,7.5,82.65649024,3.3261695,4.638079246,75.46956629
7_23_1,58.2,12.75,261.7698368,7.52799445,11.77773837,242.8533226
7_23_1,63.1,16,428.6927304,10.67754582,17.54867889,400.4384241
7_23_1,65.6,1.75,3.50128513,0.354044323,0.360042172,3.059972755
7_23_1,65.8,19.25,640.6466558,14.1936956,24.28227785,601.7597235
7_23_1,73,17.5,520.8280037,12.25684936,20.53969132,487.8139441
7_23_1,79.1,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,81.9,11.5,209.2022107,6.42241992,9.825635446,193.4831809
7_23_1,88.8,4.5,27.24695074,1.515122998,1.891116993,24.49863302
7_23_1,91.5,5,34.25504464,1.781900158,2.275514237,30.89757551
7_23_1,92.4,17,489.0405435,11.72195738,19.52020511,457.6423385
7_23_1,95,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,97.4,16,428.6927304,10.67754582,17.54867889,400.4384241
7_23_1,97.9,1.75,3.50128513,0.354044323,0.360042172,3.059972755
7_23_1,99.4,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,100,17.5,520.8280037,12.25684936,20.53969132,487.8139441
7_23_1,101.2,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,101.5,12.5,250.747155,7.301983771,11.37517096,232.4887038
7_23_1,102,7,71.15130187,2.991034012,4.108805063,64.83010971
7_23_1,102.3,12.5,250.747155,7.301983771,11.37517096,232.4887038
7_23_1,108.8,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,108.5,6,50.90297554,2.359221613,3.134302227,46.16618618
7_23_1,112.6,12.5,250.747155,7.301983771,11.37517096,232.4887038
7_23_1,112.9,16.5,458.3306305,11.195484,18.52314636,428.5192723
7_23_1,114,6.5,60.57071402,2.668571145,3.607376664,55.06666965
7_23_1,117.5,4.5,27.24695074,1.515122998,1.891116993,24.49863302
7_23_1,119.2,16,428.6927304,10.67754582,17.54867889,400.4384241
7_23_1,119.5,7.5,82.65649024,3.3261695,4.638079246,75.46956629
7_23_1,121,14,320.7454739,8.693671178,13.88022861,298.4051781
7_23_1,122.5,22,856.2570212,17.43266246,30.6999192,807.5185457
7_23_1,124.7,4.25,24.06520103,1.387510957,1.710496591,21.60065892
7_23_1,127.9,16.5,458.3306305,11.195484,18.52314636,428.5192723
7_23_1,128.9,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,131.1,11.5,209.2022107,6.42241992,9.825635446,193.4831809
7_23_1,132,7.5,82.65649024,3.3261695,4.638079246,75.46956629
7_23_1,133.2,6.75,65.74615042,2.828192075,3.854579478,59.83968575
7_23_1,133.6,31.5,1867.520517,30.29181047,57.66520423,1780.333069
7_23_1,135.2,11.5,209.2022107,6.42241992,9.825635446,193.4831809
7_23_1,137.7,16,428.6927304,10.67754582,17.54867889,400.4384241
