site,sample,diam,field_havg,lab_davg,lf_davg,lab_havg,lab_htavg,mass_green_leaves,mass_dead_roots,mass_live_roots,mass_rhiz,mass_litter,mass_dead_leaves,mass_dead_tillers,stems,mass_other,mass_overall,mass_above,mass_below,mound_mass
AK,T13,9.5,5.375,8,8.75,7.5,14.625,1.2,72.3,0.768,1.7,4.8,3,16.1,1.24,16.01,96.308,2.44,2.468,91.4
AK,T14,11.5,7.5,11.5,11.5,8.125,17.25,5.37,121.6,11.42,10.5,1,16.64,39.95,5.7,30.23,211.18,11.07,21.92,178.19
AK,T15,7.5,6.125,10.25,8.875,9.75,16,3.64,35.22,0.29,7.3,2.89,10.82,27.93,4.73,15.13,89.93,8.37,7.59,73.97
AK,T17,9.25,7,13.15,11.2,11.125,20.5,2.77,261.5,3.07,4.35,48.8,5.57,43.4,2.75,15.11,323.41,5.52,7.42,310.47
AK,T18,4.375,3.375,6.4,5.3875,4.875,8.75,1.76,20.7,0.36,3,4.18,7.63,11.22,1.5,1.1,46.17,3.26,3.36,39.55
AK,T19,15.25,9.375,14.8,15.025,8.75,21.875,5.1,231.8,6.1,12.1,84.8,22.4,39.2,5.4,9.346,322.1,10.5,18.2,293.4
AK,T20,12,8.875,15.4,13.7,11.25,25.5,3.5,445.3,2.3,5,13.2,8.9,24.5,3.6,23.8,493.1,7.1,7.3,478.7
AK,T21,2.25,1.875,4.95,3.6,7.5,16,0.35,34.5,0.7,1.3,1.1,1.5,0.41,0.52,4.24,39.28,0.87,2,36.41
AK,T22,1.75,0.625,3.85,2.8,3.75,16.125,0.34,52.02,0.38,0.69,0.03,1.5,7.22,0.6,4.26,62.75,0.94,1.07,60.74
AK,T23,7.25,4,8.25,7.75,6.875,14.3,2.1,73.9,1.5,6.3,25.9,7.8,13.4,2.533,19.4,107.533,4.633,7.8,95.1
AK,T24,24.5,12.125,24.5,24.5,11.725,22.525,4.4,497.3,7.9,11.3,25.3,13.6,112.1,4.337,67.4,650.937,8.737,19.2,623
AK,T26,7,8.75,10.5,8.75,10.5,29,1.3,356.9,2.44,3.46,44.5,4.342,5.652,1.926,57.838,376.02,3.226,5.9,366.894
AK,T27,3.25,2.875,5.1,4.175,5.125,8.125,0.834,4.6,0.237,1.3,0.299,2.6,8.2,0.783,3.75,18.554,1.617,1.537,15.4
AK,T28,2.875,1.3125,2.2,2.5375,4.5,7.625,0.32,5.2,0.18,0.74,0.15,0.94,0.97,0.24,0.85,8.59,0.56,0.92,7.11
AK,T29,20,13.875,20.5,20.25,14.75,25,9.142,513.9,19.4,16.523,42.4,29.263,105.656,10.702,64.091,704.586,19.844,35.923,648.819
AK,T30,21.5,20.75,28,24.75,19.5,32.25,6.6,875.28,11.26,11.8,111.1,20.96,43.74,8.28,110.5,977.92,14.88,23.06,939.98
AK,T32,2.5,1.375,4.6,3.55,5.75,10.75,0.53,11.01,0.41,1.29,0.1,2.17,12.83,0.65,0.77,28.89,1.18,1.7,26.01
AK,T34,23,16.75,19.5,21.25,8.5,19.25,7.9,323.9,11.3,15.6,16.2,21.6,121.4,8.548,11.989,510.248,16.448,26.9,466.9
AK,T35,29,22.5,24,26.5,19.75,28.25,10.5,939.8,13.1,17.1,41.9,41.6,100.4,12.71,81.395,1135.21,23.21,30.2,1081.8
AK,T37,28.25,22,32,30.125,17,32.5,18.86,1700.4,37.4,30.3,48.3,48.09,224.7,18.63,110.7,2078.38,37.49,67.7,1973.19
AK,T39,27.75,20,27.65,27.7,14.325,29.675,7.8,955,27.1,13.7,53.6,21.9,146.9,6.9,102.42,1179.3,14.7,40.8,1123.8
AK,T40,24.75,15.25,21.75,23.25,14.5,24.125,8.2,510.7,36.8,16.2,57.1,25.7,131.9,8.781,35.6,738.281,16.981,53,668.3
AK,T41,31,21.25,29,30,17.1,36.375,14.7,1101.7,33.7,22.3,127.8,49.7,261.5,15.02,102.095,1498.62,29.72,56,1412.9
AK,T42,32.75,23,30.6,31.675,17.75,34.75,22.74,2011.8,51.22,20.24,268.59,67.18,250.54,21.24,22.48,2444.96,43.98,71.46,2329.52
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,6,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,43.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,34,,,,,,,,,,,,,,,,,,
Eagle Creek,,42.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,44,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,44,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,46,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,21.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,55,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,7,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,7,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,38,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,5,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,60,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,37.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,34,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,6,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,23.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,5,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
