MATLAB ID,Garden,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
1732,TL,1,2,76,7.6,69,6.9,3,14.5,43.5,213.5162218,2,0,38,3.8,32,3.2,2,7,14,65.3036154,2,,n,3,1,0
1733,TL,1,2,111,11.1,51,5.1,3,16.2,48.6,238.1504128,2,2,93,9.3,102,10.2,4,19.5,78,374.4744314,4,,n,3,1,1
1734,TL,1,1,112,11.2,70,7,2,18.2,36.4,178.7360846,1,2,56,5.6,97,9.7,3,15.3,45.9,225.1451008,3,,n,2,0,0
1735,TL,1,2,105,10.5,55,5.5,3,16,48,235.2674054,1,2,43,4.3,88,8.8,3,13.1,39.3,193.0103214,2,,n,2,0,2
1736,TL,1,1,91,9.1,26,2.6,2,11.7,23.4,113.5896352,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1737,TL,1,1,86,8.6,68,6.8,2,15.4,30.8,150.9052575,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1738,TL,1,2,91,9.1,39,3.9,3,13,39,191.5380479,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1739,TL,1,1,115,11.5,81,8.1,2,19.6,39.2,192.5196757,1,0,49,4.9,,0,1,4.9,4.9,17.61508751,2,,n,2,0,0
1740,TL,1,1,103,10.3,85,8.5,2,18.8,37.6,184.654099,1,2,51,5.1,102,10.2,3,15.3,45.9,225.1451008,3,,n,2,0,0
1741,TL,0,2,101,10.1,82,8.2,2,18.3,36.6,179.7235413,1,2,72,7.2,113,11.3,3,18.5,55.5,271.014955,3,,n,2,0,0
1742,TL,1,1,105,10.5,68,6.8,2,17.3,34.6,169.8287978,1,1,22,2.2,83,8.3,2,10.5,21,101.3554487,2,,n,2,0,0
1743,TL,2,1,70,7,43,4.3,3,11.3,33.9,166.3550447,1,1,35,3.5,80,8,2,11.5,23,111.5550879,2,,n,2,0,0
1744,TL,1,3,85,8.5,74,7.4,4,15.9,63.6,308.9140987,1,0,22,2.2,,0,1,2.2,2.2,3.287178332,2,,n,2,0,1
1745,TL,1,2,128,12.8,54,5.4,3,18.2,54.6,266.758541,1,1,49,4.9,87,8.7,2,13.6,27.2,132.8283838,2,,n,2,0,0
1746,TL,2,2,101,10.1,77,7.7,4,17.8,71.2,343.8050363,1,2,74,7.4,83,8.3,3,15.7,47.1,230.9353279,3,,n,2,0,0
1747,TL,1,3,95,9.5,48,4.8,4,14.3,57.2,279.0300754,2,2,76,7.6,90,9,4,16.6,66.4,321.8439818,3,,n,3,2,0
1748,TL,1,1,72,7.2,37,3.7,2,10.9,21.8,105.4406849,1,1,51,5.1,81,8.1,2,13.2,26.4,128.7915722,2,,n,2,0,0
1749,TL,1,1,103,10.3,88,8.8,2,19.1,38.2,187.6070531,1,0,47,4.7,,0,1,4.7,4.7,16.55656326,2,,n,2,0,0
1750,TL,1,1,71,7.1,57,5.7,2,12.8,25.6,124.7475866,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1751,TL,1,1,62,6.2,26,2.6,2,8.8,17.6,83.91315977,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1752,TL,1,2,114,11.4,69,6.9,3,18.3,54.9,268.1783545,2,1,51,5.1,93,9.3,3,14.4,43.2,212.0580722,3,flower bud,n,2,0,0
1753,TL,1,2,130,13,84,8.4,3,21.4,64.2,311.6921862,1,1,48,4.8,95,9.5,2,14.3,28.6,139.8755416,2,,n,2,0,0
1754,TL,1,2,73,7.3,26,2.6,3,9.9,29.7,145.3971813,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1755,TL,1,1,81,8.1,76,7.6,2,15.7,31.4,153.9039459,1,1,18,1.8,74,7.4,2,9.2,18.4,88.02888553,2,,n,2,0,0
1756,TL,1,2,109,10.9,51,5.1,3,16,48,235.2674054,1,2,50,5,79,7.9,3,12.9,38.7,190.0647655,2,,n,2,0,0
1757,TL,1,2,102,10.2,60,6,3,16.2,48.6,238.1504128,1,2,90,9,109,10.9,3,19.9,59.7,290.7581679,3,,n,2,0,0
1758,TL,0,3,96,9.6,61,6.1,3,15.7,47.1,230.9353279,1,3,108,10.8,82,8.2,4,19,76,365.5078262,4,loose tag,n,3,2,2
1759,TL,1,1,67,6.7,58,5.8,2,12.5,25,121.7098895,1,0,26,2.6,,0,1,2.6,2.6,5.414987868,2,,n,2,0,0
1760,TL,1,2,142,14.2,90,9,3,23.2,69.6,336.5133809,1,1,64,6.4,128,12.8,2,19.2,38.4,188.5904743,2,,n,2,0,0
1761,TL,1,2,133,13.3,75,7.5,3,20.8,62.4,303.3458177,1,2,56,5.6,114,11.4,3,17,51,249.6420887,3,,n,2,0,0
1762,TL,1,2,160,16,59,5.9,3,21.9,65.7,318.61975,1,1,57,5.7,128,12.8,2,18.5,37,181.6971095,2,,n,2,0,0
1763,TL,1,2,120,12,67,6.7,3,18.7,56.1,273.8475202,1,0,84,8.4,,0,1,8.4,8.4,36.06668113,2,,n,2,0,0
