MATLAB ID,Garden,Source,Cluster,Tussock,OTC (Y/N),TAG#,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2016 Stage Class,2016 Comment,Garden,Pop,Clstr,Tussock,OTC (Y/N),TAG#,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
210,CF,SAG,8,B,N,7063,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
211,CF,SAG,8,B,N,7064,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
212,CF,SAG,8,B,N,7065,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
213,CF,SAG,8,B,N,7066,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
214,CF,SAG,8,B,N,7067,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
215,CF,SAG,8,B,N,7068,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
216,CF,SAG,8,B,N,7069,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
217,CF,SAG,8,B,N,7070,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,0,0
218,CF,SAG,8,B,N,7071,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
219,CF,SAG,8,C,N,7072,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
220,CF,SAG,8,C,N,7073,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
221,CF,SAG,8,C,N,7074,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
222,CF,SAG,8,C,N,7075,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,0,0
223,CF,SAG,8,C,N,7076,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
224,CF,SAG,8,C,N,7077,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
225,CF,SAG,8,C,N,7078,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,0,0
226,CF,SAG,9,A,N,5153,1,2,65,6.5,81,8.1,3,14.6,43.8,214.9733627,3,,CF,SAG,9,A,N,5153,1,2,97,9.7,56,5.6,3,15.3,45.9,225.1451008,3,,n,2,0,0
227,CF,SAG,9,A,N,5154,1,2,121,12.1,155,15.5,3,27.6,82.8,395.8113465,4,,CF,SAG,9,A,N,5154,2,2,146,14.6,111,11.1,4,25.7,102.8,481.9352281,5,,n,2,0,2
228,CF,SAG,9,A,N,5155,2,1,105,10.5,130,13,3,23.5,70.5,340.618468,4,,CF,SAG,9,A,N,5155,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
229,CF,SAG,9,A,N,5156,1,2,145,14.5,79,7.9,3,22.4,67.2,325.5220926,3,,CF,SAG,9,A,N,5156,1,2,171,17.1,155,15.5,3,32.6,97.8,460.8246102,4,,n,2,0,0
230,CF,SAG,9,A,N,5157,2,0,81,8.1,95,9.5,2,17.6,35.2,172.8019288,2,,CF,SAG,9,A,N,5157,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
231,CF,SAG,9,A,N,5158,1,2,113,11.3,170,17,3,28.3,84.9,405.0650347,4,,CF,SAG,9,A,N,5158,1,2,149,14.9,129,12.9,3,27.8,83.4,398.4603016,4,,n,2,0,0
232,CF,SAG,9,A,N,5159,1,2,115,11.5,145,14.5,3,26,78,374.4744314,4,,CF,SAG,9,A,N,5159,1,2,141,14.1,135,13.5,3,27.6,82.8,395.8113465,4,,n,2,0,0
233,CF,SAG,9,A,N,5160,1,2,135,13.5,150,15,3,28.5,85.5,407.699866,4,,CF,SAG,9,A,N,5160,1,1,119,11.9,111,11.1,2,23,46,225.6282362,3,,n,2,0,1
234,CF,SAG,9,A,N,5161,2,1,102,10.2,150,15,3,25.2,75.6,363.7091246,4,,CF,SAG,9,A,N,5161,2,2,91,9.1,96,9.6,4,18.7,74.8,360.106341,4,,n,2,0,0
235,CF,SAG,9,A,N,5162,2,2,50,5,123,12.3,4,17.3,69.2,334.6859833,4,,CF,SAG,9,A,N,5162,1,3,126,12.6,83,8.3,4,20.9,83.6,399.3423899,4,,n,2,0,1
236,CF,SAG,9,A,N,5163,1,2,75,7.5,76,7.6,3,15.1,45.3,222.2439341,3,,CF,SAG,9,A,N,5163,1,2,55,5.5,66,6.6,3,12.1,36.3,178.2421882,2,,n,2,0,0
237,CF,SAG,9,A,N,5164,1,2,105,10.5,127,12.7,3,23.2,69.6,336.5133809,4,,CF,SAG,9,A,N,5164,1,0,75,7.5,0,0,1,7.5,7.5,31.33510063,2,,n,2,0,0
238,CF,SAG,9,A,N,5165,1,2,43,4.3,51,5.1,3,9.4,28.2,137.8643099,2,,CF,SAG,9,A,N,5165,1,1,59,5.9,40,4,2,9.9,19.8,95.21414313,2,,n,2,0,0
239,CF,SAG,9,A,N,5166,2,2,46,4.6,49,4.9,4,9.5,38,186.6231834,2,,CF,SAG,9,A,N,5166,0,2,30,3,50,5,2,8,16,75.6601862,2,,n,2,0,0
240,CF,SAG,9,A,N,5168,2,2,107,10.7,110,11,4,21.7,86.8,413.3948236,4,,CF,SAG,9,A,N,5168,1,2,136,13.6,83,8.3,3,21.9,65.7,318.61975,3,,n,2,0,0
241,CF,SAG,9,A,N,5169,1,3,110,11,144,14.4,4,25.4,101.6,476.8942372,5,,CF,SAG,9,A,N,5169,2,3,179,17.9,135,13.5,5,31.4,157,692.7908615,5,daughter; check in lab?,n,2,0,3
242,CF,SAG,9,A,N,5170,1,4,120,12,110,11,5,23,115,532.2690455,5,,CF,SAG,9,A,N,5170,1,1,125,12.5,79,7.9,2,20.4,40.8,200.3565563,2,,n,2,0,0
243,CF,SAG,9,B,N,2155,1,2,105,10.5,130,13,3,23.5,70.5,340.618468,4,,CF,SAG,9,B,N,2155,2,1,143,14.3,134,13.4,3,27.7,83.1,397.1363285,4,"loose tag.  recorder listed class as ""1,"" but obviously not dead.  likely class ""2,"" NRA",n,2,0,1
244,CF,SAG,9,B,N,2156,2,1,136,13.6,165,16.5,3,30.1,90.3,428.6332427,4,,CF,SAG,9,B,N,2156,1,2,100,10,159,15.9,3,25.9,77.7,373.132299,4,,n,2,0,0
